Time : 08-30-13-01-18.1 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.26, 1.59, 4.60)/
Time : 08-30-13-01-18.3 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.26, 1.59, 4.61)/
Time : 08-30-13-01-42.4 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.27, 1.61, 4.62)/
Time : 08-30-13-01-42.6 //TaskState : Task1//User1 Position(2.88, 1.34, 3.95)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.27, 1.60, 4.61)/
Time : 08-30-13-01-42.9 //TaskState : Task1//User1 Position(4.50, 0.87, 3.09)/User2 Position(3.65, 1.29, 6.22)/User3 Position(3.27, 1.60, 4.61)/
Time : 08-30-13-01-43.0 //TaskState : Task1//User1 Position(4.50, 0.87, 3.09)/User2 Position(3.67, 1.28, 6.21)/User3 Position(3.27, 1.60, 4.61)/
Time : 08-30-13-01-43.5 //TaskState : Task1//User1 Position(4.50, 0.87, 3.09)/User2 Position(3.68, 1.28, 6.20)/User3 Position(3.27, 1.60, 4.61)/
Time : 08-30-13-01-43.6 //TaskState : Task1//User1 Position(4.51, 0.87, 3.09)/User2 Position(3.67, 1.31, 6.21)/User3 Position(3.27, 1.60, 4.62)/
Time : 08-30-13-01-43.7 //TaskState : Task1//User1 Position(4.51, 0.87, 3.09)/User2 Position(3.67, 1.31, 6.22)/User3 Position(3.27, 1.61, 4.62)/
Time : 08-30-13-01-43.8 //TaskState : Task1//User1 Position(4.51, 0.87, 3.09)/User2 Position(3.68, 1.31, 6.24)/User3 Position(3.27, 1.61, 4.62)/
Time : 08-30-13-01-44.0 //TaskState : Task1//User1 Position(4.51, 0.88, 3.09)/User2 Position(3.68, 1.30, 6.25)/User3 Position(3.28, 1.60, 4.62)/
Time : 08-30-13-01-44.1 //TaskState : Task1//User1 Position(4.50, 0.87, 3.09)/User2 Position(3.69, 1.27, 6.26)/User3 Position(3.28, 1.60, 4.62)/
Time : 08-30-13-01-44.2 //TaskState : Task1//User1 Position(4.51, 0.88, 3.09)/User2 Position(3.70, 1.25, 6.28)/User3 Position(3.28, 1.60, 4.62)/
Time : 08-30-13-01-44.3 //TaskState : Task1//User1 Position(4.51, 0.87, 3.09)/User2 Position(3.70, 1.25, 6.28)/User3 Position(3.28, 1.60, 4.62)/
Time : 08-30-13-01-44.4 //TaskState : Task1//User1 Position(4.50, 0.85, 3.09)/User2 Position(3.70, 1.24, 6.29)/User3 Position(3.28, 1.60, 4.62)/
Time : 08-30-13-01-44.5 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.71, 1.24, 6.29)/User3 Position(3.28, 1.60, 4.62)/
Time : 08-30-13-01-44.6 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.71, 1.24, 6.29)/User3 Position(3.28, 1.60, 4.62)/
Time : 08-30-13-01-44.7 //TaskState : Task1//User1 Position(4.51, 0.86, 3.08)/User2 Position(3.71, 1.23, 6.29)/User3 Position(3.27, 1.60, 4.62)/
Time : 08-30-13-01-44.8 //TaskState : Task1//User1 Position(4.51, 0.85, 3.08)/User2 Position(3.71, 1.23, 6.29)/User3 Position(3.27, 1.60, 4.61)/
Time : 08-30-13-01-45.0 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.72, 1.23, 6.29)/User3 Position(3.27, 1.60, 4.61)/
Time : 08-30-13-01-45.1 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.72, 1.22, 6.29)/User3 Position(3.27, 1.60, 4.61)/
Time : 08-30-13-01-45.2 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.72, 1.22, 6.29)/User3 Position(3.26, 1.60, 4.60)/
Time : 08-30-13-01-45.3 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.72, 1.22, 6.29)/User3 Position(3.26, 1.60, 4.60)/
Time : 08-30-13-01-45.4 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.72, 1.22, 6.29)/User3 Position(3.26, 1.59, 4.60)/
Time : 08-30-13-01-45.5 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.71, 1.22, 6.29)/User3 Position(3.26, 1.59, 4.60)/
Time : 08-30-13-01-45.6 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.71, 1.22, 6.28)/User3 Position(3.27, 1.59, 4.61)/
Time : 08-30-13-01-45.7 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.71, 1.22, 6.28)/User3 Position(3.27, 1.60, 4.61)/
Time : 08-30-13-01-45.8 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.71, 1.22, 6.27)/User3 Position(3.28, 1.60, 4.62)/
Time : 08-30-13-01-45.9 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.71, 1.22, 6.26)/User3 Position(3.28, 1.60, 4.63)/
Time : 08-30-13-01-46.1 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.71, 1.22, 6.25)/User3 Position(3.28, 1.60, 4.64)/
Time : 08-30-13-01-46.2 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.71, 1.21, 6.25)/User3 Position(3.28, 1.60, 4.65)/
Time : 08-30-13-01-46.3 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.70, 1.21, 6.25)/User3 Position(3.29, 1.60, 4.65)/
Time : 08-30-13-01-46.4 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.70, 1.21, 6.25)/User3 Position(3.29, 1.60, 4.65)/
Time : 08-30-13-01-46.5 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.70, 1.21, 6.25)/User3 Position(3.29, 1.60, 4.65)/
Time : 08-30-13-01-46.6 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.70, 1.20, 6.24)/User3 Position(3.29, 1.60, 4.65)/
Time : 08-30-13-01-46.7 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.70, 1.19, 6.23)/User3 Position(3.30, 1.60, 4.65)/
Time : 08-30-13-01-46.8 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.71, 1.15, 6.21)/User3 Position(3.30, 1.60, 4.66)/
Time : 08-30-13-01-46.9 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.73, 1.01, 6.20)/User3 Position(3.30, 1.59, 4.66)/
Time : 08-30-13-01-47.1 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.74, 0.88, 6.20)/User3 Position(3.30, 1.59, 4.67)/
Time : 08-30-13-01-47.2 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.70, 0.91, 6.26)/User3 Position(3.30, 1.59, 4.68)/
Time : 08-30-13-01-47.3 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.71, 0.93, 6.28)/User3 Position(3.30, 1.59, 4.68)/
Time : 08-30-13-01-47.4 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.30, 1.59, 4.68)/
Time : 08-30-13-01-47.5 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.30, 1.59, 4.68)/
Time : 08-30-13-01-47.6 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.30, 1.59, 4.68)/
Time : 08-30-13-01-47.7 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.31, 1.59, 4.67)/
Time : 08-30-13-01-47.8 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.31, 1.59, 4.66)/
Time : 08-30-13-01-47.9 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.31, 1.58, 4.66)/
Time : 08-30-13-01-48.1 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.31, 1.57, 4.65)/
Time : 08-30-13-01-48.2 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.31, 1.57, 4.64)/
Time : 08-30-13-01-48.3 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.32, 1.57, 4.64)/
Time : 08-30-13-01-48.4 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.31, 1.57, 4.63)/
Time : 08-30-13-01-48.5 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.31, 1.57, 4.63)/
Time : 08-30-13-01-48.6 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.31, 1.57, 4.61)/
Time : 08-30-13-01-48.7 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.30, 1.57, 4.60)/
Time : 08-30-13-01-48.8 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.29, 1.58, 4.59)/
Time : 08-30-13-01-48.9 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.28, 1.58, 4.58)/
Time : 08-30-13-01-49.1 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.27, 1.58, 4.58)/
Time : 08-30-13-01-49.2 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.26, 1.58, 4.57)/
Time : 08-30-13-01-49.3 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.25, 1.58, 4.56)/
Time : 08-30-13-01-49.4 //TaskState : Task1//User1 Position(4.50, 0.84, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.25, 1.58, 4.55)/
Time : 08-30-13-01-49.5 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.72, 0.93, 6.28)/User3 Position(3.24, 1.57, 4.55)/
Time : 08-30-13-01-49.6 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.72, 0.93, 6.30)/User3 Position(3.24, 1.57, 4.56)/
Time : 08-30-13-01-49.7 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.73, 0.93, 6.32)/User3 Position(3.23, 1.57, 4.57)/
Time : 08-30-13-01-49.8 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.73, 0.92, 6.35)/User3 Position(3.21, 1.57, 4.58)/
Time : 08-30-13-01-49.9 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.74, 0.92, 6.38)/User3 Position(3.20, 1.58, 4.60)/
Time : 08-30-13-01-50.1 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.75, 0.91, 6.41)/User3 Position(3.19, 1.58, 4.61)/
Time : 08-30-13-01-50.2 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.75, 0.91, 6.44)/User3 Position(3.19, 1.58, 4.63)/
Time : 08-30-13-01-50.3 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.75, 0.91, 6.46)/User3 Position(3.18, 1.58, 4.64)/
Time : 08-30-13-01-50.4 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.18, 1.58, 4.64)/
Time : 08-30-13-01-50.5 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.18, 1.58, 4.64)/
Time : 08-30-13-01-50.6 //TaskState : Task1//User1 Position(4.50, 0.85, 3.08)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.18, 1.58, 4.64)/
Time : 08-30-13-01-50.7 //TaskState : Task1//User1 Position(4.56, 0.85, 3.06)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.18, 1.59, 4.64)/
Time : 08-30-13-01-50.8 //TaskState : Task1//User1 Position(4.58, 0.86, 3.04)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.18, 1.59, 4.64)/
Time : 08-30-13-01-50.9 //TaskState : Task1//User1 Position(4.58, 0.86, 3.03)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.18, 1.59, 4.64)/
Time : 08-30-13-01-51.1 //TaskState : Task1//User1 Position(4.58, 0.87, 3.03)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.18, 1.59, 4.64)/
Time : 08-30-13-01-51.2 //TaskState : Task1//User1 Position(4.58, 0.88, 3.03)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.18, 1.59, 4.64)/
Time : 08-30-13-01-51.3 //TaskState : Task1//User1 Position(4.58, 0.88, 3.04)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.18, 1.59, 4.64)/
Time : 08-30-13-01-51.4 //TaskState : Task1//User1 Position(4.58, 0.88, 3.04)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.18, 1.59, 4.64)/
Time : 08-30-13-01-51.5 //TaskState : Task1//User1 Position(4.58, 0.88, 3.04)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.19, 1.59, 4.64)/
Time : 08-30-13-01-51.6 //TaskState : Task1//User1 Position(4.58, 0.88, 3.04)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.19, 1.59, 4.63)/
Time : 08-30-13-01-51.7 //TaskState : Task1//User1 Position(4.59, 0.88, 3.04)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.19, 1.58, 4.63)/
Time : 08-30-13-01-51.8 //TaskState : Task1//User1 Position(4.59, 0.87, 3.04)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.19, 1.58, 4.63)/
Time : 08-30-13-01-51.9 //TaskState : Task1//User1 Position(4.50, 0.88, 3.14)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.19, 1.58, 4.63)/
Time : 08-30-13-01-52.1 //TaskState : Task1//User1 Position(4.40, 1.21, 3.38)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.19, 1.58, 4.63)/
Time : 08-30-13-01-52.2 //TaskState : Task1//User1 Position(4.41, 1.27, 3.39)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.19, 1.58, 4.63)/
Time : 08-30-13-01-52.3 //TaskState : Task1//User1 Position(4.41, 1.27, 3.39)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.19, 1.58, 4.63)/
Time : 08-30-13-01-52.4 //TaskState : Task1//User1 Position(4.41, 1.27, 3.41)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.20, 1.58, 4.63)/
Time : 08-30-13-01-52.5 //TaskState : Task1//User1 Position(4.40, 1.27, 3.41)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.20, 1.58, 4.62)/
Time : 08-30-13-01-52.6 //TaskState : Task1//User1 Position(4.40, 1.27, 3.41)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.20, 1.58, 4.62)/
Time : 08-30-13-01-52.7 //TaskState : Task1//User1 Position(4.39, 1.27, 3.41)/User2 Position(3.76, 0.90, 6.47)/User3 Position(3.20, 1.58, 4.62)/
Time : 08-30-13-01-52.8 //TaskState : Task1//User1 Position(4.40, 1.29, 3.40)/User2 Position(4.18, 0.88, 5.94)/User3 Position(3.20, 1.57, 4.62)/
Time : 08-30-13-01-52.9 //TaskState : Task1//User1 Position(4.40, 1.29, 3.40)/User2 Position(4.19, 1.01, 5.49)/User3 Position(3.21, 1.58, 4.62)/
Time : 08-30-13-01-53.1 //TaskState : Task1//User1 Position(4.41, 1.29, 3.41)/User2 Position(4.15, 1.24, 5.28)/User3 Position(3.21, 1.58, 4.61)/
Time : 08-30-13-01-53.2 //TaskState : Task1//User1 Position(4.41, 1.29, 3.41)/User2 Position(4.10, 1.30, 5.32)/User3 Position(3.21, 1.58, 4.61)/
Time : 08-30-13-01-53.3 //TaskState : Task1//User1 Position(4.41, 1.29, 3.41)/User2 Position(4.10, 1.33, 5.31)/User3 Position(3.21, 1.57, 4.61)/
Time : 08-30-13-01-53.4 //TaskState : Task1//User1 Position(4.41, 1.29, 3.41)/User2 Position(4.09, 1.35, 5.31)/User3 Position(3.21, 1.57, 4.61)/
Time : 08-30-13-01-53.5 //TaskState : Task1//User1 Position(4.43, 1.28, 3.41)/User2 Position(4.08, 1.39, 5.32)/User3 Position(3.21, 1.56, 4.60)/
