Time : 08-28-15-39-04.9 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.99, 1.67, 4.02)/
Time : 08-28-15-39-05.0 //TaskState : Task1//User1 Position(2.68, 1.39, 1.07)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.99, 1.67, 4.02)/
Time : 08-28-15-39-05.1 //TaskState : Task1//User1 Position(3.81, 0.88, 3.85)/User2 Position(4.23, 1.22, 3.00)/User3 Position(3.99, 1.67, 4.02)/
Time : 08-28-15-39-05.3 //TaskState : Task1//User1 Position(3.81, 0.88, 3.85)/User2 Position(4.23, 1.22, 3.00)/User3 Position(3.99, 1.67, 4.02)/
Time : 08-28-15-39-05.5 //TaskState : Task1//User1 Position(3.81, 0.88, 3.85)/User2 Position(4.22, 1.23, 3.00)/User3 Position(3.99, 1.67, 4.02)/
Time : 08-28-15-39-05.9 //TaskState : Task1//User1 Position(3.81, 0.88, 3.85)/User2 Position(4.22, 1.23, 3.00)/User3 Position(3.99, 1.67, 4.02)/
Time : 08-28-15-39-06.0 //TaskState : Task1//User1 Position(3.81, 0.88, 3.85)/User2 Position(4.22, 1.23, 2.99)/User3 Position(4.00, 1.66, 4.03)/
Time : 08-28-15-39-06.2 //TaskState : Task1//User1 Position(3.81, 0.88, 3.86)/User2 Position(4.22, 1.22, 2.99)/User3 Position(4.00, 1.66, 4.02)/
Time : 08-28-15-39-06.3 //TaskState : Task1//User1 Position(3.80, 0.88, 3.88)/User2 Position(4.23, 1.23, 3.00)/User3 Position(4.00, 1.66, 4.02)/
Time : 08-28-15-39-06.4 //TaskState : Task1//User1 Position(3.79, 0.88, 3.89)/User2 Position(4.23, 1.23, 3.00)/User3 Position(4.01, 1.66, 4.02)/
Time : 08-28-15-39-06.5 //TaskState : Task1//User1 Position(3.86, 1.01, 3.51)/User2 Position(4.23, 1.23, 3.00)/User3 Position(4.01, 1.65, 4.02)/
Time : 08-28-15-39-06.6 //TaskState : Task1//User1 Position(3.78, 1.10, 3.41)/User2 Position(4.23, 1.23, 3.00)/User3 Position(4.02, 1.65, 4.02)/
Time : 08-28-15-39-06.7 //TaskState : Task1//User1 Position(3.70, 0.89, 3.67)/User2 Position(4.22, 1.23, 2.99)/User3 Position(4.02, 1.64, 4.02)/
Time : 08-28-15-39-06.8 //TaskState : Task1//User1 Position(3.69, 0.87, 3.68)/User2 Position(4.23, 1.23, 2.99)/User3 Position(4.02, 1.64, 4.02)/
Time : 08-28-15-39-06.9 //TaskState : Task1//User1 Position(3.68, 0.86, 3.69)/User2 Position(4.23, 1.22, 2.99)/User3 Position(4.02, 1.63, 4.02)/
Time : 08-28-15-39-07.0 //TaskState : Task1//User1 Position(3.67, 0.86, 3.69)/User2 Position(4.23, 1.22, 2.99)/User3 Position(4.02, 1.63, 4.02)/
Time : 08-28-15-39-07.2 //TaskState : Task1//User1 Position(3.67, 0.86, 3.69)/User2 Position(4.23, 1.22, 2.99)/User3 Position(4.03, 1.63, 4.02)/
Time : 08-28-15-39-07.3 //TaskState : Task1//User1 Position(3.67, 0.86, 3.69)/User2 Position(4.23, 1.22, 2.99)/User3 Position(4.03, 1.63, 4.02)/
Time : 08-28-15-39-07.4 //TaskState : Task1//User1 Position(3.67, 0.86, 3.70)/User2 Position(4.22, 1.22, 2.99)/User3 Position(4.04, 1.62, 4.03)/
Time : 08-28-15-39-07.5 //TaskState : Task1//User1 Position(3.67, 0.86, 3.70)/User2 Position(4.22, 1.22, 2.99)/User3 Position(4.04, 1.62, 4.04)/
Time : 08-28-15-39-07.6 //TaskState : Task1//User1 Position(3.67, 0.86, 3.69)/User2 Position(4.22, 1.22, 2.99)/User3 Position(4.05, 1.61, 4.04)/
Time : 08-28-15-39-07.7 //TaskState : Task1//User1 Position(3.66, 0.86, 3.69)/User2 Position(4.22, 1.22, 2.99)/User3 Position(4.06, 1.61, 4.05)/
Time : 08-28-15-39-07.8 //TaskState : Task1//User1 Position(3.66, 0.86, 3.69)/User2 Position(4.22, 1.22, 2.99)/User3 Position(4.06, 1.61, 4.06)/
Time : 08-28-15-39-07.9 //TaskState : Task1//User1 Position(3.65, 0.86, 3.69)/User2 Position(4.22, 1.22, 3.00)/User3 Position(4.06, 1.61, 4.07)/
Time : 08-28-15-39-08.0 //TaskState : Task1//User1 Position(3.75, 0.89, 3.65)/User2 Position(4.22, 1.22, 2.99)/User3 Position(4.06, 1.61, 4.08)/
Time : 08-28-15-39-08.2 //TaskState : Task1//User1 Position(3.94, 1.13, 3.49)/User2 Position(4.22, 1.22, 2.99)/User3 Position(4.06, 1.61, 4.08)/
Time : 08-28-15-39-08.3 //TaskState : Task1//User1 Position(3.95, 1.23, 3.43)/User2 Position(4.22, 1.22, 2.99)/User3 Position(4.06, 1.61, 4.08)/
Time : 08-28-15-39-08.4 //TaskState : Task1//User1 Position(3.94, 1.25, 3.41)/User2 Position(4.22, 1.22, 3.00)/User3 Position(4.06, 1.61, 4.08)/
